SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612751,BKN,Brooklyn Nets,0041800125,2019-04-23,BKN @ PHI,L,240,100,36,93,0.387,9,31.0,0.29,19,25,0.76,9.0,32.0,41.0,26,10.0,4.0,14.0,13.0,-22.0
2018,1610612751,BKN,Brooklyn Nets,0041800124,2019-04-20,BKN vs. PHI,L,240,108,36,90,0.4,12,38.0,0.316,24,31,0.774,12.0,29.0,41.0,23,10.0,4.0,14.0,26.0,-4.0
2018,1610612751,BKN,Brooklyn Nets,0041800123,2019-04-18,BKN vs. PHI,L,239,115,39,96,0.406,8,39.0,0.205,29,35,0.829,13.0,30.0,43.0,12,6.0,2.0,15.0,24.0,-16.0
2018,1610612751,BKN,Brooklyn Nets,0041800122,2019-04-15,BKN @ PHI,L,239,123,43,90,0.478,15,36.0,0.417,22,29,0.759,12.0,20.0,32.0,20,3.0,2.0,14.0,24.0,-22.0
2018,1610612751,BKN,Brooklyn Nets,0041800121,2019-04-13,BKN @ PHI,W,241,111,38,88,0.432,11,26.0,0.423,24,26,0.923,10.0,35.0,45.0,15,9.0,2.0,11.0,27.0,9.0
2018,1610612751,BKN,Brooklyn Nets,0021801221,2019-04-10,BKN vs. MIA,W,241,113,43,114,0.377,21,58.0,0.362,6,7,0.857,20.0,48.0,68.0,29,7.0,3.0,12.0,13.0,19.0
2018,1610612751,BKN,Brooklyn Nets,0021801199,2019-04-07,BKN @ IND,W,240,108,40,88,0.455,11,36.0,0.306,17,22,0.773,17.0,35.0,52.0,23,7.0,4.0,15.0,13.0,12.0
2018,1610612751,BKN,Brooklyn Nets,0021801193,2019-04-06,BKN @ MIL,W,240,133,48,97,0.495,19,45.0,0.422,18,23,0.783,12.0,31.0,43.0,25,7.0,0.0,10.0,19.0,5.0
2018,1610612751,BKN,Brooklyn Nets,0021801169,2019-04-03,BKN vs. TOR,L,240,105,41,86,0.477,10,32.0,0.313,13,21,0.619,9.0,44.0,53.0,23,3.0,2.0,14.0,19.0,-10.0
2018,1610612751,BKN,Brooklyn Nets,0021801154,2019-04-01,BKN vs. MIL,L,240,121,39,94,0.415,16,44.0,0.364,27,34,0.794,16.0,39.0,55.0,19,6.0,5.0,23.0,26.0,-10.0
2018,1610612751,BKN,Brooklyn Nets,0021801137,2019-03-30,BKN vs. BOS,W,240,110,38,83,0.458,12,38.0,0.316,22,28,0.786,5.0,35.0,40.0,22,7.0,2.0,12.0,17.0,14.0
2018,1610612751,BKN,Brooklyn Nets,0021801123,2019-03-28,BKN @ PHI,L,240,110,40,90,0.444,11,32.0,0.344,19,29,0.655,11.0,34.0,45.0,25,4.0,3.0,15.0,22.0,-13.0
2018,1610612751,BKN,Brooklyn Nets,0021801106,2019-03-25,BKN @ POR,L,290,144,49,103,0.476,15,42.0,0.357,31,44,0.705,15.0,44.0,59.0,25,3.0,4.0,16.0,31.0,-4.0
2018,1610612751,BKN,Brooklyn Nets,0021801086,2019-03-22,BKN @ LAL,W,240,111,37,92,0.402,16,42.0,0.381,21,28,0.75,11.0,36.0,47.0,21,8.0,4.0,13.0,25.0,5.0
2018,1610612751,BKN,Brooklyn Nets,0021801063,2019-03-19,BKN @ SAC,W,241,123,47,94,0.5,12,35.0,0.343,17,23,0.739,11.0,30.0,41.0,28,16.0,4.0,18.0,19.0,2.0
2018,1610612751,BKN,Brooklyn Nets,0021801049,2019-03-17,BKN @ LAC,L,241,116,42,100,0.42,14,38.0,0.368,18,25,0.72,15.0,36.0,51.0,26,6.0,7.0,14.0,28.0,-3.0
2018,1610612751,BKN,Brooklyn Nets,0021801041,2019-03-16,BKN @ UTA,L,241,98,33,95,0.347,12,36.0,0.333,20,22,0.909,8.0,36.0,44.0,20,9.0,5.0,7.0,24.0,-16.0
2018,1610612751,BKN,Brooklyn Nets,0021801017,2019-03-13,BKN @ OKC,L,240,96,35,84,0.417,13,35.0,0.371,13,19,0.684,7.0,36.0,43.0,19,7.0,5.0,16.0,18.0,-12.0
2018,1610612751,BKN,Brooklyn Nets,0021801003,2019-03-11,BKN vs. DET,W,240,103,39,79,0.494,11,31.0,0.355,14,22,0.636,5.0,48.0,53.0,21,9.0,4.0,17.0,18.0,28.0
2018,1610612751,BKN,Brooklyn Nets,0021800987,2019-03-09,BKN @ ATL,W,241,114,33,86,0.384,15,44.0,0.341,33,54,0.611,15.0,39.0,54.0,21,7.0,3.0,14.0,23.0,2.0
2018,1610612751,BKN,Brooklyn Nets,0021800969,2019-03-06,BKN vs. CLE,W,239,113,43,91,0.473,12,33.0,0.364,15,26,0.577,11.0,39.0,50.0,21,5.0,7.0,14.0,22.0,6.0
2018,1610612751,BKN,Brooklyn Nets,0021800952,2019-03-04,BKN vs. DAL,W,239,127,48,85,0.565,17,41.0,0.415,14,19,0.737,3.0,45.0,48.0,29,8.0,1.0,13.0,23.0,39.0
2018,1610612751,BKN,Brooklyn Nets,0021800937,2019-03-02,BKN @ MIA,L,239,88,31,88,0.352,9,42.0,0.214,17,22,0.773,7.0,29.0,36.0,20,6.0,6.0,11.0,14.0,-29.0
2018,1610612751,BKN,Brooklyn Nets,0021800929,2019-03-01,BKN vs. CHA,L,240,112,44,86,0.512,10,32.0,0.313,14,18,0.778,7.0,30.0,37.0,27,2.0,5.0,15.0,19.0,-11.0
2018,1610612751,BKN,Brooklyn Nets,0021800914,2019-02-27,BKN vs. WAS,L,239,116,39,85,0.459,8,35.0,0.229,30,39,0.769,7.0,34.0,41.0,20,7.0,3.0,16.0,27.0,-9.0
2018,1610612751,BKN,Brooklyn Nets,0021800900,2019-02-25,BKN vs. SAS,W,240,101,35,81,0.432,19,50.0,0.38,12,16,0.75,6.0,45.0,51.0,24,5.0,5.0,15.0,15.0,16.0
2018,1610612751,BKN,Brooklyn Nets,0021800884,2019-02-23,BKN @ CHA,W,241,117,40,87,0.46,17,43.0,0.395,20,26,0.769,11.0,31.0,42.0,23,5.0,6.0,12.0,26.0,2.0
2018,1610612751,BKN,Brooklyn Nets,0021800869,2019-02-21,BKN vs. POR,L,241,99,36,92,0.391,7,36.0,0.194,20,26,0.769,12.0,37.0,49.0,26,4.0,2.0,12.0,19.0,-14.0
