SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612766,CHA,Charlotte Hornets,0021801222,2019-04-10,CHA vs. ORL,L,241,114,41,78,0.526,8,29,0.276,24,27,0.889,4,28,32,21,3,4,8,14,-8.0
2018,1610612766,CHA,Charlotte Hornets,0021801209,2019-04-09,CHA @ CLE,W,240,124,45,78,0.577,22,44,0.5,12,17,0.706,5,32,37,35,8,7,10,13,27.0
2018,1610612766,CHA,Charlotte Hornets,0021801198,2019-04-07,CHA @ DET,W,241,104,38,88,0.432,10,31,0.323,18,23,0.783,8,36,44,23,5,3,5,13,13.0
2018,1610612766,CHA,Charlotte Hornets,0021801180,2019-04-05,CHA vs. TOR,W,240,113,44,94,0.468,13,39,0.333,12,14,0.857,8,32,40,28,6,2,6,17,2.0
2018,1610612766,CHA,Charlotte Hornets,0021801171,2019-04-03,CHA @ NOP,W,240,115,38,90,0.422,12,34,0.353,27,32,0.844,11,37,48,19,13,5,11,15,6.0
2018,1610612766,CHA,Charlotte Hornets,0021801159,2019-04-01,CHA @ UTA,L,240,102,36,90,0.4,7,30,0.233,23,29,0.793,10,34,44,15,12,2,11,20,-9.0
2018,1610612766,CHA,Charlotte Hornets,0021801150,2019-03-31,CHA @ GSW,L,242,90,30,85,0.353,8,32,0.25,22,25,0.88,7,21,28,24,8,4,11,11,-47.0
2018,1610612766,CHA,Charlotte Hornets,0021801135,2019-03-29,CHA @ LAL,L,241,115,42,88,0.477,15,39,0.385,16,17,0.941,8,29,37,26,8,2,13,14,-14.0
2018,1610612766,CHA,Charlotte Hornets,0021801107,2019-03-26,CHA vs. SAS,W,265,125,46,100,0.46,13,42,0.31,20,28,0.714,5,40,45,30,9,5,6,18,9.0
2018,1610612766,CHA,Charlotte Hornets,0021801098,2019-03-24,CHA @ TOR,W,240,115,41,93,0.441,18,41,0.439,15,17,0.882,14,25,39,32,12,3,7,17,1.0
2018,1610612766,CHA,Charlotte Hornets,0021801087,2019-03-23,CHA vs. BOS,W,241,124,42,95,0.442,18,38,0.474,22,28,0.786,14,39,53,26,7,5,11,15,7.0
2018,1610612766,CHA,Charlotte Hornets,0021801074,2019-03-21,CHA vs. MIN,W,238,113,43,100,0.43,9,29,0.31,18,24,0.75,15,40,55,26,5,6,10,24,7.0
2018,1610612766,CHA,Charlotte Hornets,0021801059,2019-03-19,CHA vs. PHI,L,239,114,36,83,0.434,9,35,0.257,33,44,0.75,10,36,46,16,3,2,9,22,-4.0
2018,1610612766,CHA,Charlotte Hornets,0021801045,2019-03-17,CHA @ MIA,L,240,75,26,83,0.313,7,36,0.194,16,18,0.889,11,33,44,11,6,5,12,19,-18.0
2018,1610612766,CHA,Charlotte Hornets,0021801028,2019-03-15,CHA @ WAS,W,241,116,46,101,0.455,14,31,0.452,10,12,0.833,15,31,46,18,11,7,12,17,6.0
2018,1610612766,CHA,Charlotte Hornets,0021801004,2019-03-11,CHA @ HOU,L,240,106,38,89,0.427,16,41,0.39,14,15,0.933,7,32,39,23,4,4,11,20,-12.0
2018,1610612766,CHA,Charlotte Hornets,0021800990,2019-03-09,CHA @ MIL,L,240,114,44,93,0.473,15,39,0.385,11,14,0.786,6,29,35,25,4,2,12,24,-17.0
2018,1610612766,CHA,Charlotte Hornets,0021800977,2019-03-08,CHA vs. WAS,W,242,112,40,96,0.417,14,41,0.341,18,20,0.9,18,34,52,24,7,8,12,18,1.0
2018,1610612766,CHA,Charlotte Hornets,0021800965,2019-03-06,CHA vs. MIA,L,238,84,30,82,0.366,14,36,0.389,10,15,0.667,10,30,40,22,7,4,19,19,-7.0
2018,1610612766,CHA,Charlotte Hornets,0021800944,2019-03-03,CHA vs. POR,L,241,108,37,83,0.446,14,33,0.424,20,23,0.87,4,31,35,25,7,5,12,21,-10.0
2018,1610612766,CHA,Charlotte Hornets,0021800929,2019-03-01,CHA @ BKN,W,240,123,50,94,0.532,9,21,0.429,14,17,0.824,10,30,40,24,6,4,13,25,11.0
2018,1610612766,CHA,Charlotte Hornets,0021800911,2019-02-27,CHA vs. HOU,L,239,113,39,83,0.47,12,33,0.364,23,27,0.852,8,40,48,25,9,5,18,22,-5.0
2018,1610612766,CHA,Charlotte Hornets,0021800897,2019-02-25,CHA vs. GSW,L,240,110,40,91,0.44,7,33,0.212,23,26,0.885,9,29,38,23,13,6,12,11,-11.0
2018,1610612766,CHA,Charlotte Hornets,0021800884,2019-02-23,CHA vs. BKN,L,239,115,39,86,0.453,12,35,0.343,25,30,0.833,12,30,42,15,4,5,12,23,-2.0
2018,1610612766,CHA,Charlotte Hornets,0021800873,2019-02-22,CHA vs. WAS,W,240,123,46,96,0.479,13,33,0.394,18,22,0.818,11,42,53,26,7,6,13,20,13.0
2018,1610612766,CHA,Charlotte Hornets,0021800864,2019-02-14,CHA @ ORL,L,241,89,33,94,0.351,4,31,0.129,19,26,0.731,13,32,45,18,6,4,8,19,-38.0
2018,1610612766,CHA,Charlotte Hornets,0021800841,2019-02-11,CHA @ IND,L,240,90,29,90,0.322,7,40,0.175,25,33,0.758,21,30,51,15,7,2,5,15,-9.0
2018,1610612766,CHA,Charlotte Hornets,0021800827,2019-02-09,CHA @ ATL,W,239,129,48,88,0.545,19,42,0.452,14,18,0.778,10,27,37,30,12,7,13,17,9.0
2018,1610612766,CHA,Charlotte Hornets,0021800807,2019-02-06,CHA @ DAL,L,240,93,36,89,0.404,9,37,0.243,12,17,0.706,8,39,47,17,9,9,14,17,-6.0
2018,1610612766,CHA,Charlotte Hornets,0021800796,2019-02-05,CHA vs. LAC,L,239,115,39,93,0.419,15,42,0.357,22,26,0.846,11,33,44,19,8,9,5,19,-2.0
2018,1610612766,CHA,Charlotte Hornets,0021800776,2019-02-02,CHA vs. CHI,W,241,125,43,82,0.524,14,32,0.438,25,29,0.862,9,27,36,25,6,2,6,21,7.0
2018,1610612766,CHA,Charlotte Hornets,0021800770,2019-02-01,CHA vs. MEM,W,240,100,32,73,0.438,12,29,0.414,24,28,0.857,6,34,40,15,6,7,12,17,8.0
2018,1610612766,CHA,Charlotte Hornets,0021800756,2019-01-30,CHA @ BOS,L,242,94,39,89,0.438,13,40,0.325,3,7,0.429,7,24,31,20,7,5,12,17,-32.0
2018,1610612766,CHA,Charlotte Hornets,0021800744,2019-01-28,CHA vs. NYK,W,239,101,39,94,0.415,11,34,0.324,12,16,0.75,13,38,51,25,4,10,10,20,9.0
2018,1610612766,CHA,Charlotte Hornets,0021800727,2019-01-25,CHA @ MIL,L,240,99,36,90,0.4,10,39,0.256,17,25,0.68,12,41,53,20,4,2,17,19,-9.0
2018,1610612766,CHA,Charlotte Hornets,0021800713,2019-01-23,CHA @ MEM,W,241,118,41,77,0.532,12,30,0.4,24,31,0.774,5,32,37,23,8,2,9,19,11.0
2018,1610612766,CHA,Charlotte Hornets,0021800688,2019-01-20,CHA @ IND,L,240,95,33,82,0.402,12,35,0.343,17,25,0.68,7,37,44,20,5,6,16,14,-25.0
2018,1610612766,CHA,Charlotte Hornets,0021800679,2019-01-19,CHA vs. PHX,W,240,135,48,88,0.545,16,34,0.471,23,27,0.852,14,39,53,31,5,8,16,26,20.0
2018,1610612766,CHA,Charlotte Hornets,0021800666,2019-01-17,CHA vs. SAC,W,240,114,39,87,0.448,11,38,0.289,25,29,0.862,12,34,46,21,11,4,13,16,19.0
2018,1610612766,CHA,Charlotte Hornets,0021800647,2019-01-14,CHA @ SAS,W,240,108,43,92,0.467,13,36,0.361,9,11,0.818,8,37,45,24,7,4,7,14,15.0
2018,1610612766,CHA,Charlotte Hornets,0021800636,2019-01-12,CHA @ SAC,L,240,97,36,88,0.409,12,36,0.333,13,22,0.591,13,43,56,21,6,11,18,17,-7.0
2018,1610612766,CHA,Charlotte Hornets,0021800628,2019-01-11,CHA @ POR,L,240,96,36,90,0.4,13,30,0.433,11,16,0.688,10,33,43,23,3,2,13,10,-31.0
2018,1610612766,CHA,Charlotte Hornets,0021800606,2019-01-08,CHA @ LAC,L,241,109,36,90,0.4,12,33,0.364,25,29,0.862,10,33,43,20,5,5,11,20,-19.0
2018,1610612766,CHA,Charlotte Hornets,0021800590,2019-01-06,CHA @ PHX,W,241,119,44,91,0.484,7,25,0.28,24,34,0.706,14,32,46,22,9,1,15,21,6.0
2018,1610612766,CHA,Charlotte Hornets,0021800576,2019-01-05,CHA @ DEN,L,239,110,39,82,0.476,11,29,0.379,21,26,0.808,12,35,47,22,7,4,17,18,-13.0
