SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612743,DEN,Denver Nuggets,0041800237,2019-05-12,DEN vs. POR,L,240,96,33,89,0.371,2,19,0.105,28,39,0.718,13,38,51,15,1,9,5,23,-4.0
2018,1610612743,DEN,Denver Nuggets,0041800236,2019-05-09,DEN @ POR,L,240,108,33,86,0.384,12,32,0.375,30,32,0.938,16,28,44,22,7,3,6,23,-11.0
2018,1610612743,DEN,Denver Nuggets,0041800235,2019-05-07,DEN vs. POR,W,239,124,44,89,0.494,8,24,0.333,28,31,0.903,10,52,62,26,4,4,8,22,26.0
2018,1610612743,DEN,Denver Nuggets,0041800234,2019-05-05,DEN @ POR,W,241,116,40,92,0.435,11,25,0.44,25,28,0.893,17,28,45,21,7,4,8,22,4.0
2018,1610612743,DEN,Denver Nuggets,0041800233,2019-05-03,DEN @ POR,L,341,137,54,119,0.454,15,42,0.357,14,20,0.7,24,42,66,28,11,8,20,27,-3.0
2018,1610612743,DEN,Denver Nuggets,0041800232,2019-05-01,DEN vs. POR,L,239,90,34,98,0.347,6,29,0.207,16,26,0.615,23,35,58,20,6,5,9,19,-7.0
2018,1610612743,DEN,Denver Nuggets,0041800231,2019-04-29,DEN vs. POR,W,240,121,41,81,0.506,12,29,0.414,27,31,0.871,7,27,34,22,12,7,12,22,8.0
2018,1610612743,DEN,Denver Nuggets,0041800157,2019-04-27,DEN vs. SAS,W,239,90,35,88,0.398,2,20,0.1,18,23,0.783,13,40,53,21,3,8,6,19,4.0
2018,1610612743,DEN,Denver Nuggets,0041800156,2019-04-25,DEN @ SAS,L,241,103,44,96,0.458,6,24,0.25,9,12,0.75,12,25,37,26,5,3,7,18,-17.0
2018,1610612743,DEN,Denver Nuggets,0041800155,2019-04-23,DEN vs. SAS,W,240,108,39,78,0.5,14,33,0.424,16,20,0.8,7,42,49,25,4,6,13,21,18.0
2018,1610612743,DEN,Denver Nuggets,0041800154,2019-04-20,DEN @ SAS,W,239,117,40,89,0.449,15,31,0.484,22,24,0.917,11,34,45,25,4,2,7,22,14.0
2018,1610612743,DEN,Denver Nuggets,0041800153,2019-04-18,DEN @ SAS,L,241,108,42,81,0.519,15,29,0.517,9,17,0.529,10,27,37,31,3,1,13,21,-10.0
2018,1610612743,DEN,Denver Nuggets,0041800152,2019-04-16,DEN vs. SAS,W,241,114,43,89,0.483,10,24,0.417,18,26,0.692,7,34,41,29,5,2,5,21,9.0
