SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612765,DET,Detroit Pistons,0041800104,2019-04-22,DET vs. MIL,L,240,104,41,100,0.41,13,34,0.382,9,12,0.75,10.0,26.0,36.0,26,8,1,10,31,-23.0
2018,1610612765,DET,Detroit Pistons,0041800103,2019-04-20,DET vs. MIL,L,240,103,37,96,0.385,11,36,0.306,18,24,0.75,15.0,29.0,44.0,21,9,6,9,24,-16.0
2018,1610612765,DET,Detroit Pistons,0041800102,2019-04-17,DET @ MIL,L,240,99,37,99,0.374,12,36,0.333,13,17,0.765,11.0,32.0,43.0,23,5,7,8,21,-21.0
2018,1610612765,DET,Detroit Pistons,0041800101,2019-04-14,DET @ MIL,L,241,86,35,92,0.38,8,27,0.296,8,13,0.615,7.0,39.0,46.0,22,7,2,13,21,-35.0
2018,1610612765,DET,Detroit Pistons,0021801223,2019-04-10,DET @ NYK,W,241,115,41,85,0.482,14,33,0.424,19,20,0.95,11.0,45.0,56.0,25,5,2,13,23,26.0
2018,1610612765,DET,Detroit Pistons,0021801210,2019-04-09,DET vs. MEM,W,241,100,35,88,0.398,10,34,0.294,20,28,0.714,14.0,26.0,40.0,16,13,4,9,21,7.0
2018,1610612765,DET,Detroit Pistons,0021801198,2019-04-07,DET vs. CHA,L,241,91,34,92,0.37,10,41,0.244,13,15,0.867,18.0,37.0,55.0,20,3,7,9,18,-13.0
2018,1610612765,DET,Detroit Pistons,0021801186,2019-04-05,DET @ OKC,L,239,110,35,81,0.432,15,41,0.366,25,31,0.806,4.0,28.0,32.0,20,10,8,14,23,-13.0
2018,1610612765,DET,Detroit Pistons,0021801165,2019-04-03,DET vs. IND,L,241,89,31,80,0.388,11,41,0.268,16,24,0.667,11.0,35.0,46.0,21,6,5,18,25,-19.0
2018,1610612765,DET,Detroit Pistons,0021801152,2019-04-01,DET @ IND,L,240,102,38,88,0.432,12,33,0.364,14,19,0.737,16.0,25.0,41.0,21,7,5,15,24,-9.0
2018,1610612765,DET,Detroit Pistons,0021801139,2019-03-30,DET vs. POR,W,240,99,37,86,0.43,5,25,0.2,20,26,0.769,7.0,38.0,45.0,20,8,6,10,21,9.0
2018,1610612765,DET,Detroit Pistons,0021801122,2019-03-28,DET vs. ORL,W,240,115,46,86,0.535,17,35,0.486,6,12,0.5,10.0,33.0,43.0,25,8,9,11,18,17.0
2018,1610612765,DET,Detroit Pistons,0021801115,2019-03-26,DET @ DEN,L,239,92,36,102,0.353,11,42,0.262,9,13,0.692,17.0,39.0,56.0,19,5,2,6,21,-3.0
2018,1610612765,DET,Detroit Pistons,0021801101,2019-03-24,DET @ GSW,L,240,114,39,84,0.464,12,31,0.387,24,25,0.96,10.0,19.0,29.0,25,6,0,6,13,-7.0
2018,1610612765,DET,Detroit Pistons,0021801093,2019-03-23,DET @ POR,L,240,112,42,84,0.5,14,34,0.412,14,14,1.0,6.0,23.0,29.0,24,9,3,7,21,-5.0
2018,1610612765,DET,Detroit Pistons,0021801077,2019-03-21,DET @ PHX,W,240,118,38,90,0.422,17,42,0.405,25,34,0.735,19.0,27.0,46.0,23,11,6,13,26,20.0
2018,1610612765,DET,Detroit Pistons,0021801050,2019-03-18,DET @ CLE,L,239,119,42,94,0.447,18,44,0.409,17,21,0.81,19.0,28.0,47.0,24,6,4,11,21,-7.0
2018,1610612765,DET,Detroit Pistons,0021801044,2019-03-17,DET vs. TOR,W,240,110,39,83,0.47,8,27,0.296,24,27,0.889,11.0,33.0,44.0,23,8,3,10,18,3.0
2018,1610612765,DET,Detroit Pistons,0021801026,2019-03-15,DET vs. LAL,W,240,111,37,86,0.43,17,39,0.436,20,32,0.625,16.0,34.0,50.0,26,5,4,14,19,14.0
2018,1610612765,DET,Detroit Pistons,0021801014,2019-03-13,DET @ MIA,L,242,74,27,77,0.351,8,37,0.216,12,18,0.667,10.0,27.0,37.0,20,7,7,17,23,-34.0
2018,1610612765,DET,Detroit Pistons,0021801003,2019-03-11,DET @ BKN,L,238,75,27,97,0.278,8,34,0.235,13,16,0.813,17.0,32.0,49.0,16,7,3,12,22,-28.0
2018,1610612765,DET,Detroit Pistons,0021800992,2019-03-10,DET vs. CHI,W,240,131,49,91,0.538,19,35,0.543,14,22,0.636,10.0,34.0,44.0,34,5,1,7,24,23.0
2018,1610612765,DET,Detroit Pistons,0021800980,2019-03-08,DET @ CHI,W,240,112,45,83,0.542,9,27,0.333,13,21,0.619,7.0,34.0,41.0,23,5,9,15,19,8.0
2018,1610612765,DET,Detroit Pistons,0021800966,2019-03-06,DET vs. MIN,W,239,131,50,93,0.538,14,33,0.424,17,22,0.773,11.0,31.0,42.0,29,5,3,5,19,17.0
2018,1610612765,DET,Detroit Pistons,0021800949,2019-03-03,DET vs. TOR,W,264,112,40,86,0.465,12,33,0.364,20,29,0.69,8.0,38.0,46.0,25,10,3,15,24,5.0
