SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612745,HOU,Houston Rockets,0041800226,2019-05-10,HOU vs. GSW,L,240,113,42,89,0.472,17,39.0,0.436,12,17,0.706,12.0,28.0,40.0,21,9.0,1.0,15.0,22,-5.0
2018,1610612745,HOU,Houston Rockets,0041800225,2019-05-08,HOU @ GSW,L,239,99,33,79,0.418,12,41.0,0.293,21,24,0.875,8.0,31.0,39.0,19,10.0,3.0,15.0,20,-5.0
2018,1610612745,HOU,Houston Rockets,0041800224,2019-05-06,HOU vs. GSW,W,239,112,39,89,0.438,17,50.0,0.34,17,24,0.708,13.0,37.0,50.0,18,6.0,6.0,13.0,23,4.0
2018,1610612745,HOU,Houston Rockets,0041800223,2019-05-04,HOU vs. GSW,W,265,126,45,93,0.484,18,42.0,0.429,18,26,0.692,17.0,38.0,55.0,20,4.0,6.0,13.0,24,5.0
2018,1610612745,HOU,Houston Rockets,0041800222,2019-04-30,HOU @ GSW,L,238,109,36,77,0.468,17,40.0,0.425,20,25,0.8,10.0,31.0,41.0,17,5.0,2.0,17.0,21,-6.0
2018,1610612745,HOU,Houston Rockets,0041800221,2019-04-28,HOU @ GSW,L,241,100,31,74,0.419,14,47.0,0.298,24,29,0.828,3.0,23.0,26.0,14,14.0,3.0,14.0,21,-4.0
2018,1610612745,HOU,Houston Rockets,0041800175,2019-04-24,HOU vs. UTA,W,240,100,36,81,0.444,13,37.0,0.351,15,22,0.682,9.0,37.0,46.0,17,12.0,12.0,17.0,21,7.0
2018,1610612745,HOU,Houston Rockets,0041800174,2019-04-22,HOU @ UTA,L,241,91,28,79,0.354,17,46.0,0.37,18,24,0.75,9.0,26.0,35.0,14,9.0,4.0,15.0,23,-16.0
2018,1610612745,HOU,Houston Rockets,0041800173,2019-04-20,HOU @ UTA,W,240,104,33,86,0.384,15,45.0,0.333,23,34,0.676,9.0,43.0,52.0,19,11.0,4.0,13.0,25,3.0
2018,1610612745,HOU,Houston Rockets,0041800172,2019-04-17,HOU vs. UTA,W,240,118,38,80,0.475,17,42.0,0.405,25,30,0.833,8.0,38.0,46.0,17,8.0,9.0,18.0,18,20.0
2018,1610612745,HOU,Houston Rockets,0041800171,2019-04-14,HOU vs. UTA,W,240,122,48,95,0.505,15,41.0,0.366,11,12,0.917,8.0,34.0,42.0,25,6.0,6.0,10.0,20,32.0
2018,1610612745,HOU,Houston Rockets,0021801218,2019-04-09,HOU @ OKC,L,239,111,38,88,0.432,18,53.0,0.34,17,20,0.85,9.0,33.0,42.0,18,7.0,7.0,11.0,21,-1.0
2018,1610612745,HOU,Houston Rockets,0021801200,2019-04-07,HOU vs. PHX,W,240,149,53,100,0.53,27,57.0,0.474,16,21,0.762,12.0,40.0,52.0,34,12.0,5.0,9.0,16,36.0
2018,1610612745,HOU,Houston Rockets,0021801184,2019-04-05,HOU vs. NYK,W,241,120,43,101,0.426,22,59.0,0.373,12,17,0.706,7.0,41.0,48.0,26,8.0,2.0,6.0,21,24.0
2018,1610612745,HOU,Houston Rockets,0021801176,2019-04-03,HOU @ LAC,W,239,135,47,88,0.534,18,38.0,0.474,23,29,0.793,12.0,36.0,48.0,22,6.0,7.0,16.0,29,32.0
2018,1610612745,HOU,Houston Rockets,0021801163,2019-04-02,HOU @ SAC,W,241,130,46,94,0.489,26,61.0,0.426,12,17,0.706,8.0,35.0,43.0,30,8.0,3.0,7.0,20,25.0
2018,1610612745,HOU,Houston Rockets,0021801138,2019-03-30,HOU vs. SAC,W,239,119,39,83,0.47,17,52.0,0.327,24,27,0.889,6.0,32.0,38.0,19,6.0,2.0,9.0,17,11.0
2018,1610612745,HOU,Houston Rockets,0021801126,2019-03-28,HOU vs. DEN,W,239,112,40,87,0.46,15,40.0,0.375,17,20,0.85,11.0,35.0,46.0,22,8.0,3.0,10.0,19,27.0
