SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612754,IND,Indiana Pacers,0041800134,2019-04-21,IND vs. BOS,L,240,106,36,88,0.409,10,28,0.357,24,28,0.857,11.0,32.0,43.0,18,5,2,12,25,-4.0
2018,1610612754,IND,Indiana Pacers,0041800133,2019-04-19,IND vs. BOS,L,239,96,34,81,0.42,11,30,0.367,17,23,0.739,8.0,32.0,40.0,20,9,4,9,19,-8.0
2018,1610612754,IND,Indiana Pacers,0041800132,2019-04-17,IND @ BOS,L,241,91,36,81,0.444,13,34,0.382,6,10,0.6,4.0,32.0,36.0,23,11,3,11,16,-8.0
2018,1610612754,IND,Indiana Pacers,0041800131,2019-04-14,IND @ BOS,L,242,74,28,84,0.333,6,27,0.222,12,21,0.571,9.0,33.0,42.0,22,8,5,13,20,-10.0
2018,1610612754,IND,Indiana Pacers,0021801220,2019-04-10,IND @ ATL,W,239,135,45,98,0.459,12,30,0.4,33,39,0.846,13.0,30.0,43.0,22,12,7,8,28,1.0
2018,1610612754,IND,Indiana Pacers,0021801199,2019-04-07,IND vs. BKN,L,240,96,41,85,0.482,10,27,0.37,4,7,0.571,5.0,28.0,33.0,27,6,3,13,18,-12.0
2018,1610612754,IND,Indiana Pacers,0021801183,2019-04-05,IND vs. BOS,L,240,97,38,92,0.413,10,23,0.435,11,19,0.579,10.0,35.0,45.0,24,5,3,11,15,-20.0
2018,1610612754,IND,Indiana Pacers,0021801165,2019-04-03,IND @ DET,W,239,108,43,92,0.467,6,21,0.286,16,22,0.727,10.0,34.0,44.0,31,9,4,11,18,19.0
2018,1610612754,IND,Indiana Pacers,0021801152,2019-04-01,IND vs. DET,W,239,111,42,77,0.545,10,22,0.455,17,22,0.773,7.0,35.0,42.0,27,9,8,17,20,9.0
2018,1610612754,IND,Indiana Pacers,0021801140,2019-03-30,IND vs. ORL,L,239,116,48,90,0.533,9,24,0.375,11,17,0.647,11.0,33.0,44.0,26,4,3,15,18,-5.0
2018,1610612754,IND,Indiana Pacers,0021801130,2019-03-29,IND @ BOS,L,240,112,42,90,0.467,12,27,0.444,16,23,0.696,14.0,27.0,41.0,27,9,2,12,16,-2.0
2018,1610612754,IND,Indiana Pacers,0021801119,2019-03-27,IND @ OKC,L,240,99,40,92,0.435,13,31,0.419,6,11,0.545,8.0,37.0,45.0,26,4,6,11,17,-8.0
2018,1610612754,IND,Indiana Pacers,0021801097,2019-03-24,IND vs. DEN,W,240,124,51,91,0.56,8,18,0.444,14,17,0.824,10.0,39.0,49.0,34,9,5,11,17,36.0
2018,1610612754,IND,Indiana Pacers,0021801079,2019-03-21,IND @ GSW,L,241,89,35,91,0.385,6,23,0.261,13,17,0.765,12.0,35.0,47.0,17,7,3,15,18,-23.0
