SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612747,LAL,Los Angeles Lakers,0021801219,2019-04-09,LAL vs. POR,L,240,101,40,94,0.426,10,29,0.345,11,17,0.647,17.0,34.0,51.0,29,6.0,6.0,17.0,19,-3.0
2018,1610612747,LAL,Los Angeles Lakers,0021801208,2019-04-07,LAL vs. UTA,W,240,113,46,89,0.517,7,25,0.28,14,21,0.667,16.0,33.0,49.0,28,5.0,5.0,16.0,21,4.0
2018,1610612747,LAL,Los Angeles Lakers,0021801192,2019-04-05,LAL @ LAC,W,240,122,43,96,0.448,14,32,0.438,22,27,0.815,14.0,41.0,55.0,28,8.0,10.0,14.0,24,5.0
2018,1610612747,LAL,Los Angeles Lakers,0021801179,2019-04-04,LAL vs. GSW,L,240,90,37,104,0.356,8,37,0.216,8,14,0.571,18.0,44.0,62.0,25,10.0,7.0,18.0,10,-18.0
2018,1610612747,LAL,Los Angeles Lakers,0021801161,2019-04-02,LAL @ OKC,L,240,103,40,84,0.476,16,39,0.41,7,10,0.7,4.0,35.0,39.0,26,7.0,2.0,21.0,25,-16.0
2018,1610612747,LAL,Los Angeles Lakers,0021801147,2019-03-31,LAL @ NOP,W,240,130,48,101,0.475,15,38,0.395,19,22,0.864,11.0,35.0,46.0,30,16.0,5.0,10.0,20,28.0
2018,1610612747,LAL,Los Angeles Lakers,0021801135,2019-03-29,LAL vs. CHA,W,239,129,51,91,0.56,18,38,0.474,9,12,0.75,11.0,33.0,44.0,34,8.0,2.0,14.0,17,14.0
2018,1610612747,LAL,Los Angeles Lakers,0021801121,2019-03-27,LAL @ UTA,L,239,100,37,97,0.381,9,27,0.333,17,24,0.708,8.0,32.0,40.0,21,9.0,5.0,4.0,23,-15.0
2018,1610612747,LAL,Los Angeles Lakers,0021801116,2019-03-26,LAL vs. WAS,W,240,124,48,89,0.539,11,33,0.333,17,23,0.739,13.0,39.0,52.0,37,9.0,5.0,18.0,21,18.0
2018,1610612747,LAL,Los Angeles Lakers,0021801102,2019-03-24,LAL vs. SAC,W,240,111,39,85,0.459,13,40,0.325,20,24,0.833,9.0,47.0,56.0,29,4.0,8.0,20.0,22,5.0
