SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612749,MIL,Milwaukee Bucks,0041800306,2019-05-25,MIL @ TOR,L,240,94,30,75,0.4,12,34,0.353,22,31,0.71,12.0,30.0,42.0,19,7,7,11,22,-6.0
2018,1610612749,MIL,Milwaukee Bucks,0041800305,2019-05-23,MIL vs. TOR,L,240,99,38,84,0.452,10,31,0.323,13,18,0.722,8.0,45.0,53.0,26,2,2,11,22,-6.0
2018,1610612749,MIL,Milwaukee Bucks,0041800304,2019-05-21,MIL @ TOR,L,241,102,37,80,0.463,11,35,0.314,17,26,0.654,7.0,33.0,40.0,30,8,7,12,22,-18.0
2018,1610612749,MIL,Milwaukee Bucks,0041800303,2019-05-19,MIL @ TOR,L,291,112,38,102,0.373,14,44,0.318,22,33,0.667,13.0,50.0,63.0,22,14,5,20,30,-6.0
2018,1610612749,MIL,Milwaukee Bucks,0041800302,2019-05-17,MIL vs. TOR,W,240,125,43,92,0.467,13,41,0.317,26,35,0.743,11.0,42.0,53.0,27,6,4,7,26,22.0
2018,1610612749,MIL,Milwaukee Bucks,0041800301,2019-05-15,MIL vs. TOR,W,241,108,37,93,0.398,11,44,0.25,23,27,0.852,15.0,45.0,60.0,21,8,11,12,16,8.0
2018,1610612749,MIL,Milwaukee Bucks,0041800205,2019-05-08,MIL vs. BOS,W,240,116,42,94,0.447,15,47,0.319,17,22,0.773,12.0,46.0,58.0,27,8,7,16,23,25.0
2018,1610612749,MIL,Milwaukee Bucks,0041800204,2019-05-06,MIL @ BOS,W,239,113,44,100,0.44,8,37,0.216,17,25,0.68,11.0,45.0,56.0,25,4,5,7,25,12.0
2018,1610612749,MIL,Milwaukee Bucks,0041800203,2019-05-03,MIL @ BOS,W,239,123,42,83,0.506,15,37,0.405,24,36,0.667,7.0,37.0,44.0,23,8,7,15,26,7.0
2018,1610612749,MIL,Milwaukee Bucks,0041800202,2019-04-30,MIL vs. BOS,W,240,123,39,88,0.443,20,47,0.426,25,31,0.806,10.0,43.0,53.0,22,6,4,11,24,21.0
2018,1610612749,MIL,Milwaukee Bucks,0041800201,2019-04-28,MIL vs. BOS,L,238,90,31,89,0.348,13,39,0.333,15,24,0.625,7.0,37.0,44.0,19,6,2,10,11,-22.0
2018,1610612749,MIL,Milwaukee Bucks,0041800104,2019-04-22,MIL @ DET,W,240,127,43,79,0.544,10,28,0.357,31,41,0.756,10.0,44.0,54.0,27,6,10,17,21,23.0
2018,1610612749,MIL,Milwaukee Bucks,0041800103,2019-04-20,MIL @ DET,W,240,119,42,86,0.488,14,38,0.368,21,24,0.875,13.0,38.0,51.0,24,5,6,15,22,16.0
2018,1610612749,MIL,Milwaukee Bucks,0041800102,2019-04-17,MIL vs. DET,W,242,120,47,90,0.522,11,26,0.423,15,21,0.714,8.0,46.0,54.0,32,5,11,12,21,21.0
2018,1610612749,MIL,Milwaukee Bucks,0041800101,2019-04-14,MIL vs. DET,W,240,121,44,90,0.489,15,43,0.349,18,26,0.692,8.0,46.0,54.0,31,7,8,10,16,35.0
2018,1610612749,MIL,Milwaukee Bucks,0021801226,2019-04-10,MIL vs. OKC,L,241,116,43,100,0.43,15,46,0.326,15,21,0.714,11.0,42.0,53.0,27,7,1,14,14,-11.0
2018,1610612749,MIL,Milwaukee Bucks,0021801202,2019-04-07,MIL vs. ATL,W,239,115,40,91,0.44,9,41,0.22,26,34,0.765,11.0,50.0,61.0,19,8,10,14,23,8.0
2018,1610612749,MIL,Milwaukee Bucks,0021801193,2019-04-06,MIL vs. BKN,L,241,128,49,88,0.557,16,34,0.471,14,21,0.667,6.0,37.0,43.0,28,7,4,14,18,-5.0
2018,1610612749,MIL,Milwaukee Bucks,0021801177,2019-04-04,MIL @ PHI,W,239,128,42,93,0.452,12,34,0.353,32,43,0.744,8.0,42.0,50.0,26,5,6,10,18,6.0
2018,1610612749,MIL,Milwaukee Bucks,0021801154,2019-04-01,MIL @ BKN,W,239,131,47,94,0.5,11,34,0.324,26,30,0.867,6.0,34.0,40.0,28,15,7,14,26,10.0
2018,1610612749,MIL,Milwaukee Bucks,0021801145,2019-03-31,MIL @ ATL,L,264,135,48,116,0.414,17,55,0.309,22,23,0.957,22.0,49.0,71.0,30,6,3,16,20,-1.0
2018,1610612749,MIL,Milwaukee Bucks,0021801127,2019-03-28,MIL vs. LAC,W,239,128,45,86,0.523,16,37,0.432,22,27,0.815,3.0,44.0,47.0,25,5,5,8,21,10.0
2018,1610612749,MIL,Milwaukee Bucks,0021801111,2019-03-26,MIL vs. HOU,W,239,108,42,94,0.447,14,34,0.412,10,13,0.769,10.0,50.0,60.0,24,10,6,15,11,14.0
2018,1610612749,MIL,Milwaukee Bucks,0021801096,2019-03-24,MIL vs. CLE,W,241,127,48,87,0.552,15,41,0.366,16,21,0.762,4.0,41.0,45.0,26,8,7,9,13,22.0
2018,1610612749,MIL,Milwaukee Bucks,0021801085,2019-03-22,MIL vs. MIA,W,238,116,43,85,0.506,17,34,0.5,13,20,0.65,9.0,43.0,52.0,33,5,5,14,23,29.0
2018,1610612749,MIL,Milwaukee Bucks,0021801065,2019-03-20,MIL @ CLE,L,240,102,36,91,0.396,13,32,0.406,17,21,0.81,11.0,40.0,51.0,24,9,7,9,16,-5.0
2018,1610612749,MIL,Milwaukee Bucks,0021801061,2019-03-19,MIL vs. LAL,W,239,115,41,89,0.461,15,47,0.319,18,27,0.667,12.0,42.0,54.0,25,9,4,17,19,14.0
2018,1610612749,MIL,Milwaukee Bucks,0021801043,2019-03-17,MIL vs. PHI,L,240,125,43,95,0.453,16,50,0.32,23,28,0.821,10.0,35.0,45.0,25,9,6,10,22,-5.0
2018,1610612749,MIL,Milwaukee Bucks,0021801029,2019-03-15,MIL @ MIA,W,240,113,42,88,0.477,12,33,0.364,17,24,0.708,8.0,44.0,52.0,29,8,9,15,21,15.0
2018,1610612749,MIL,Milwaukee Bucks,0021801010,2019-03-12,MIL @ NOP,W,240,130,48,97,0.495,10,36,0.278,24,28,0.857,5.0,47.0,52.0,27,5,4,13,20,17.0
2018,1610612749,MIL,Milwaukee Bucks,0021800999,2019-03-10,MIL @ SAS,L,240,114,41,87,0.471,14,36,0.389,18,25,0.72,6.0,39.0,45.0,22,3,2,10,17,-7.0
2018,1610612749,MIL,Milwaukee Bucks,0021800990,2019-03-09,MIL vs. CHA,W,240,131,44,90,0.489,17,44,0.386,26,30,0.867,14.0,41.0,55.0,27,9,2,12,17,17.0
2018,1610612749,MIL,Milwaukee Bucks,0021800975,2019-03-07,MIL vs. IND,W,241,117,43,86,0.5,14,35,0.4,17,21,0.81,8.0,44.0,52.0,21,7,10,13,19,19.0
2018,1610612749,MIL,Milwaukee Bucks,0021800955,2019-03-04,MIL @ PHX,L,240,105,35,95,0.368,12,42,0.286,23,31,0.742,18.0,39.0,57.0,17,8,2,14,25,-9.0
2018,1610612749,MIL,Milwaukee Bucks,0021800943,2019-03-02,MIL @ UTA,L,241,111,37,96,0.385,15,39,0.385,22,30,0.733,17.0,36.0,53.0,20,6,10,15,22,-4.0
2018,1610612749,MIL,Milwaukee Bucks,0021800934,2019-03-01,MIL @ LAL,W,240,131,48,93,0.516,14,40,0.35,21,24,0.875,11.0,40.0,51.0,30,4,6,11,15,11.0
2018,1610612749,MIL,Milwaukee Bucks,0021800920,2019-02-27,MIL @ SAC,W,267,141,54,112,0.482,17,45,0.378,16,21,0.762,11.0,46.0,57.0,36,3,14,11,18,1.4
2018,1610612749,MIL,Milwaukee Bucks,0021800902,2019-02-25,MIL @ CHI,W,241,117,42,91,0.462,17,49,0.347,16,23,0.696,8.0,37.0,45.0,26,3,6,8,22,11.0
2018,1610612749,MIL,Milwaukee Bucks,0021800891,2019-02-23,MIL vs. MIN,W,242,140,50,95,0.526,19,43,0.442,21,22,0.955,10.0,39.0,49.0,28,6,8,11,17,12.0
2018,1610612749,MIL,Milwaukee Bucks,0021800870,2019-02-21,MIL vs. BOS,W,240,98,37,88,0.42,14,39,0.359,10,14,0.714,9.0,46.0,55.0,21,5,4,15,11,1.0
2018,1610612749,MIL,Milwaukee Bucks,0021800854,2019-02-13,MIL @ IND,W,241,106,38,86,0.442,9,31,0.29,21,29,0.724,10.0,42.0,52.0,22,7,3,10,14,9.0
2018,1610612749,MIL,Milwaukee Bucks,0021800843,2019-02-11,MIL @ CHI,W,240,112,38,80,0.475,12,38,0.316,24,29,0.828,5.0,44.0,49.0,24,6,7,17,18,13.0
2018,1610612749,MIL,Milwaukee Bucks,0021800833,2019-02-09,MIL vs. ORL,L,238,83,31,95,0.326,6,35,0.171,15,18,0.833,12.0,39.0,51.0,18,5,8,10,16,-20.0
2018,1610612749,MIL,Milwaukee Bucks,0021800821,2019-02-08,MIL @ DAL,W,240,122,51,93,0.548,10,36,0.278,10,12,0.833,10.0,41.0,51.0,25,4,5,12,21,15.0
2018,1610612749,MIL,Milwaukee Bucks,0021800806,2019-02-06,MIL vs. WAS,W,240,148,56,93,0.602,19,30,0.633,17,26,0.654,8.0,26.0,34.0,33,15,3,14,20,19.0
2018,1610612749,MIL,Milwaukee Bucks,0021800792,2019-02-04,MIL @ BKN,W,242,113,43,101,0.426,10,39,0.256,17,25,0.68,15.0,44.0,59.0,29,9,7,9,20,19.0
2018,1610612749,MIL,Milwaukee Bucks,0021800778,2019-02-02,MIL @ WAS,W,241,131,45,91,0.495,17,39,0.436,24,24,1.0,6.0,40.0,46.0,30,10,4,11,19,16.0
2018,1610612749,MIL,Milwaukee Bucks,0021800766,2019-01-31,MIL @ TOR,W,239,105,39,79,0.494,14,38,0.368,13,17,0.765,7.0,43.0,50.0,21,13,6,18,16,13.0
2018,1610612749,MIL,Milwaukee Bucks,0021800750,2019-01-29,MIL @ DET,W,241,115,47,87,0.54,13,32,0.406,8,10,0.8,6.0,33.0,39.0,32,9,6,10,15,10.0
2018,1610612749,MIL,Milwaukee Bucks,0021800738,2019-01-27,MIL @ OKC,L,239,112,39,91,0.429,15,37,0.405,19,28,0.679,9.0,40.0,49.0,22,6,5,14,22,-6.0
2018,1610612749,MIL,Milwaukee Bucks,0021800727,2019-01-25,MIL vs. CHA,W,239,108,41,89,0.461,6,31,0.194,20,23,0.87,6.0,40.0,46.0,17,9,6,11,18,9.0
2018,1610612749,MIL,Milwaukee Bucks,0021800694,2019-01-21,MIL vs. DAL,W,241,116,42,91,0.462,12,32,0.375,20,22,0.909,8.0,43.0,51.0,21,9,7,14,19,10.0
2018,1610612749,MIL,Milwaukee Bucks,0021800682,2019-01-19,MIL @ ORL,W,240,118,47,85,0.553,12,30,0.4,12,15,0.8,4.0,42.0,46.0,22,7,7,13,14,10.0
2018,1610612749,MIL,Milwaukee Bucks,0021800660,2019-01-16,MIL @ MEM,W,241,111,40,84,0.476,12,34,0.353,19,22,0.864,5.0,45.0,50.0,27,9,8,15,25,10.0
2018,1610612749,MIL,Milwaukee Bucks,0021800654,2019-01-15,MIL vs. MIA,W,240,124,48,96,0.5,17,39,0.436,11,18,0.611,7.0,46.0,53.0,35,8,6,7,12,38.0
2018,1610612749,MIL,Milwaukee Bucks,0021800640,2019-01-13,MIL @ ATL,W,238,133,49,92,0.533,11,30,0.367,24,33,0.727,8.0,31.0,39.0,28,13,4,14,25,19.0
2018,1610612749,MIL,Milwaukee Bucks,0021800622,2019-01-11,MIL @ WAS,L,241,106,40,89,0.449,13,40,0.325,13,17,0.765,10.0,33.0,43.0,26,8,6,15,17,-7.0
2018,1610612749,MIL,Milwaukee Bucks,0021800610,2019-01-09,MIL @ HOU,W,241,116,44,91,0.484,8,27,0.296,20,24,0.833,10.0,39.0,49.0,26,11,5,13,25,7.0
2018,1610612749,MIL,Milwaukee Bucks,0021800594,2019-01-07,MIL vs. UTA,W,241,114,46,98,0.469,9,25,0.36,13,16,0.813,10.0,36.0,46.0,27,10,6,10,19,12.0
2018,1610612749,MIL,Milwaukee Bucks,0021800580,2019-01-05,MIL vs. TOR,L,238,116,40,81,0.494,14,37,0.378,22,27,0.815,4.0,34.0,38.0,29,9,2,14,20,-7.0
2018,1610612749,MIL,Milwaukee Bucks,0021800572,2019-01-04,MIL vs. ATL,W,240,144,55,100,0.55,14,40,0.35,20,28,0.714,12.0,42.0,54.0,36,11,8,14,26,32.0
2018,1610612749,MIL,Milwaukee Bucks,0021800550,2019-01-01,MIL vs. DET,W,241,121,47,79,0.595,10,27,0.37,17,26,0.654,5.0,38.0,43.0,28,7,6,13,19,23.0
2018,1610612749,MIL,Milwaukee Bucks,0021800527,2018-12-29,MIL vs. BKN,W,241,129,47,96,0.49,21,51,0.412,14,16,0.875,5.0,34.0,39.0,30,6,5,10,22,14.0
