SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612750,MIN,Minnesota Timberwolves,0021801228,2019-04-10,MIN @ DEN,L,240,95,39,91,0.429,13,32,0.406,4,6,0.667,7,34,41,24,6,0,10,22,-4.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801214,2019-04-09,MIN vs. TOR,L,240,100,38,91,0.418,13,42,0.31,11,14,0.786,5,30,35,26,10,9,12,16,-20.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801197,2019-04-07,MIN vs. OKC,L,240,126,46,85,0.541,10,23,0.435,24,29,0.828,6,26,32,29,9,5,13,24,-6.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801185,2019-04-05,MIN vs. MIA,W,240,111,43,86,0.5,8,24,0.333,17,21,0.81,9,34,43,25,10,2,18,18,2.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801172,2019-04-03,MIN @ DAL,W,241,110,42,86,0.488,10,27,0.37,16,20,0.8,5,33,38,26,6,3,8,25,2.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801157,2019-04-01,MIN vs. POR,L,241,122,47,96,0.49,11,29,0.379,17,19,0.895,10,27,37,29,8,3,9,19,-10.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801143,2019-03-30,MIN vs. PHI,L,240,109,39,86,0.453,11,26,0.423,20,25,0.8,4,32,36,23,6,6,9,15,-9.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801132,2019-03-29,MIN vs. GSW,W,264,131,45,103,0.437,14,38,0.368,27,34,0.794,15,44,59,25,7,3,16,24,1.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801112,2019-03-26,MIN vs. LAC,L,240,111,41,94,0.436,9,27,0.333,20,33,0.606,10,33,43,22,13,1,10,18,-11.0
2018,1610612750,MIN,Minnesota Timberwolves,0021801091,2019-03-23,MIN @ MEM,W,240,112,40,83,0.482,12,26,0.462,20,21,0.952,13,36,49,25,7,10,19,20,13.0
