SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612752,NYK,New York Knicks,0021801223,2019-04-10,NYK vs. DET,L,241,89,31,77,0.403,9,30.0,0.3,18,25,0.72,4.0,29.0,33.0,23,7.0,5.0,11.0,17.0,-26.0
2018,1610612752,NYK,New York Knicks,0021801213,2019-04-09,NYK @ CHI,W,240,96,37,93,0.398,14,40.0,0.35,8,13,0.615,11.0,50.0,61.0,17,0.0,10.0,9.0,16.0,10.0
2018,1610612752,NYK,New York Knicks,0021801204,2019-04-07,NYK vs. WAS,W,240,113,41,80,0.513,17,34.0,0.5,14,19,0.737,7.0,36.0,43.0,24,5.0,9.0,15.0,14.0,3.0
2018,1610612752,NYK,New York Knicks,0021801184,2019-04-05,NYK @ HOU,L,240,96,37,82,0.451,6,27.0,0.222,16,27,0.593,5.0,48.0,53.0,22,3.0,6.0,15.0,17.0,-24.0
2018,1610612752,NYK,New York Knicks,0021801166,2019-04-03,NYK @ ORL,L,241,100,38,85,0.447,6,27.0,0.222,18,21,0.857,8.0,31.0,39.0,21,10.0,5.0,12.0,18.0,-14.0
2018,1610612752,NYK,New York Knicks,0021801155,2019-04-01,NYK vs. CHI,W,239,113,37,74,0.5,18,38.0,0.474,21,25,0.84,6.0,38.0,44.0,24,2.0,9.0,16.0,18.0,8.0
2018,1610612752,NYK,New York Knicks,0021801141,2019-03-30,NYK vs. MIA,L,240,92,31,77,0.403,9,38.0,0.237,21,25,0.84,8.0,34.0,42.0,20,10.0,7.0,18.0,16.0,-8.0
2018,1610612752,NYK,New York Knicks,0021801125,2019-03-28,NYK vs. TOR,L,240,92,31,85,0.365,6,26.0,0.231,24,32,0.75,14.0,40.0,54.0,16,3.0,5.0,16.0,22.0,-25.0
2018,1610612752,NYK,New York Knicks,0021801095,2019-03-24,NYK vs. LAC,L,240,113,41,86,0.477,9,33.0,0.273,22,25,0.88,13.0,31.0,44.0,22,5.0,7.0,14.0,24.0,-11.0
2018,1610612752,NYK,New York Knicks,0021801082,2019-03-22,NYK vs. DEN,L,241,93,34,90,0.378,9,32.0,0.281,16,21,0.762,8.0,37.0,45.0,20,3.0,5.0,7.0,15.0,-18.0
2018,1610612752,NYK,New York Knicks,0021801068,2019-03-20,NYK vs. UTA,L,240,116,45,86,0.523,13,31.0,0.419,13,21,0.619,8.0,32.0,40.0,23,6.0,6.0,14.0,21.0,-21.0
