SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612757,POR,Portland Trail Blazers,0041800314,2019-05-20,POR vs. GSW,L,265,117,47,98,0.48,16,41,0.39,7,10,0.7,6.0,32.0,38.0,31,5,6,12,15,-2.0
2018,1610612757,POR,Portland Trail Blazers,0041800313,2019-05-18,POR vs. GSW,L,239,99,34,85,0.4,11,35,0.314,20,33,0.606,10.0,31.0,41.0,22,9,3,11,23,-11.0
2018,1610612757,POR,Portland Trail Blazers,0041800312,2019-05-16,POR @ GSW,L,241,111,38,86,0.442,18,39,0.462,17,18,0.944,10.0,27.0,37.0,23,8,1,13,22,-3.0
2018,1610612757,POR,Portland Trail Blazers,0041800311,2019-05-14,POR @ GSW,L,242,94,30,83,0.361,7,28,0.25,27,31,0.871,16.0,31.0,47.0,21,5,5,21,16,-22.0
2018,1610612757,POR,Portland Trail Blazers,0041800237,2019-05-12,POR @ DEN,W,239,100,38,93,0.409,4,26,0.154,20,24,0.833,12.0,43.0,55.0,16,5,7,4,31,4.0
2018,1610612757,POR,Portland Trail Blazers,0041800236,2019-05-09,POR vs. DEN,W,241,119,41,89,0.461,15,33,0.455,22,30,0.733,11.0,32.0,43.0,18,4,5,9,20,11.0
2018,1610612757,POR,Portland Trail Blazers,0041800235,2019-05-07,POR @ DEN,L,239,98,36,98,0.367,10,37,0.27,16,30,0.533,13.0,30.0,43.0,19,6,5,6,23,-26.0
2018,1610612757,POR,Portland Trail Blazers,0041800234,2019-05-05,POR vs. DEN,L,240,112,39,82,0.476,12,28,0.429,22,28,0.786,12.0,31.0,43.0,18,4,5,14,27,-4.0
2018,1610612757,POR,Portland Trail Blazers,0041800233,2019-05-03,POR vs. DEN,W,340,140,52,124,0.419,12,42,0.286,24,28,0.857,24.0,38.0,62.0,23,13,5,13,24,3.0
2018,1610612757,POR,Portland Trail Blazers,0041800232,2019-05-01,POR @ DEN,W,241,97,36,85,0.424,9,29,0.31,16,20,0.8,7.0,40.0,47.0,18,5,6,10,22,7.0
2018,1610612757,POR,Portland Trail Blazers,0041800231,2019-04-29,POR @ DEN,L,239,113,41,79,0.519,11,29,0.379,20,27,0.741,9.0,31.0,40.0,20,6,5,18,24,-8.0
2018,1610612757,POR,Portland Trail Blazers,0041800165,2019-04-23,POR vs. OKC,W,240,118,45,96,0.469,13,35,0.371,15,23,0.652,13.0,32.0,45.0,22,8,5,9,18,3.0
2018,1610612757,POR,Portland Trail Blazers,0041800164,2019-04-21,POR @ OKC,W,242,111,37,90,0.411,15,35,0.429,22,23,0.957,8.0,41.0,49.0,16,10,8,12,22,13.0
2018,1610612757,POR,Portland Trail Blazers,0041800163,2019-04-19,POR @ OKC,L,241,108,39,83,0.47,12,31,0.387,18,24,0.75,12.0,29.0,41.0,18,5,1,18,33,-12.0
2018,1610612757,POR,Portland Trail Blazers,0041800162,2019-04-16,POR vs. OKC,W,242,114,42,90,0.467,13,32,0.406,17,21,0.81,7.0,37.0,44.0,17,9,6,12,27,20.0
2018,1610612757,POR,Portland Trail Blazers,0041800161,2019-04-14,POR vs. OKC,W,240,104,36,86,0.419,11,25,0.44,21,27,0.778,13.0,35.0,48.0,14,8,9,18,17,5.0
2018,1610612757,POR,Portland Trail Blazers,0021801230,2019-04-10,POR vs. SAC,W,240,136,53,91,0.582,14,24,0.583,16,22,0.727,14.0,30.0,44.0,19,5,2,12,17,5.0
2018,1610612757,POR,Portland Trail Blazers,0021801219,2019-04-09,POR @ LAL,W,240,104,37,90,0.411,11,37,0.297,19,22,0.864,11.0,34.0,45.0,18,8,10,12,14,3.0
2018,1610612757,POR,Portland Trail Blazers,0021801206,2019-04-07,POR vs. DEN,W,241,115,41,89,0.461,9,28,0.321,24,29,0.828,17.0,41.0,58.0,22,5,5,16,16,7.0
2018,1610612757,POR,Portland Trail Blazers,0021801190,2019-04-05,POR @ DEN,L,239,110,42,86,0.488,10,29,0.345,16,20,0.8,12.0,28.0,40.0,24,6,2,14,23,-9.0
2018,1610612757,POR,Portland Trail Blazers,0021801175,2019-04-03,POR vs. MEM,W,238,116,48,94,0.511,10,31,0.323,10,16,0.625,14.0,40.0,54.0,28,9,3,13,14,27.0
2018,1610612757,POR,Portland Trail Blazers,0021801157,2019-04-01,POR @ MIN,W,241,132,50,91,0.549,15,30,0.5,17,24,0.708,15.0,35.0,50.0,31,6,9,14,17,10.0
2018,1610612757,POR,Portland Trail Blazers,0021801139,2019-03-30,POR @ DET,L,241,90,38,102,0.373,4,21,0.19,10,11,0.909,18.0,41.0,59.0,18,7,5,16,19,-9.0
2018,1610612757,POR,Portland Trail Blazers,0021801131,2019-03-29,POR @ ATL,W,242,118,45,96,0.469,9,32,0.281,19,22,0.864,10.0,45.0,55.0,19,4,4,9,9,20.0
2018,1610612757,POR,Portland Trail Blazers,0021801117,2019-03-27,POR @ CHI,W,239,118,43,83,0.518,11,32,0.344,21,25,0.84,9.0,36.0,45.0,30,4,3,8,16,20.0
2018,1610612757,POR,Portland Trail Blazers,0021801106,2019-03-25,POR vs. BKN,W,290,148,53,121,0.438,14,45,0.311,28,36,0.778,16.0,39.0,55.0,35,9,5,3,30,4.0
2018,1610612757,POR,Portland Trail Blazers,0021801093,2019-03-23,POR vs. DET,W,240,117,43,79,0.544,11,26,0.423,20,27,0.741,11.0,31.0,42.0,22,4,4,12,14,5.0
2018,1610612757,POR,Portland Trail Blazers,0021801073,2019-03-20,POR vs. DAL,W,239,126,45,91,0.495,16,36,0.444,20,25,0.8,12.0,36.0,48.0,23,6,4,14,17,8.0
2018,1610612757,POR,Portland Trail Blazers,0021801058,2019-03-18,POR vs. IND,W,239,106,37,79,0.468,13,32,0.406,19,21,0.905,8.0,30.0,38.0,24,8,9,17,23,8.0
