SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612762,UTA,Utah Jazz,0041800175,2019-04-24,UTA @ HOU,L,240,93,35,94,0.372,9,38,0.237,14,19,0.737,14.0,33.0,47.0,26,8,4,15,22,-7.0
2018,1610612762,UTA,Utah Jazz,0041800174,2019-04-22,UTA vs. HOU,W,241,107,37,86,0.43,11,35,0.314,22,26,0.846,16.0,36.0,52.0,24,7,7,14,19,16.0
2018,1610612762,UTA,Utah Jazz,0041800173,2019-04-20,UTA vs. HOU,L,241,101,32,77,0.416,12,41,0.293,25,38,0.658,7.0,41.0,48.0,21,9,11,14,22,-3.0
2018,1610612762,UTA,Utah Jazz,0041800172,2019-04-17,UTA @ HOU,L,241,98,39,98,0.398,8,38,0.211,12,18,0.667,15.0,33.0,48.0,27,16,3,12,26,-20.0
2018,1610612762,UTA,Utah Jazz,0041800171,2019-04-14,UTA @ HOU,L,239,90,30,77,0.39,7,27,0.259,23,27,0.852,7.0,34.0,41.0,17,6,2,18,20,-32.0
2018,1610612762,UTA,Utah Jazz,0021801229,2019-04-10,UTA @ LAC,L,266,137,47,106,0.443,14,35,0.4,29,33,0.879,17.0,40.0,57.0,31,8,11,17,24,-6.0
2018,1610612762,UTA,Utah Jazz,0021801217,2019-04-09,UTA vs. DEN,W,243,118,41,78,0.526,10,27,0.37,26,34,0.765,9.0,39.0,48.0,24,5,5,15,21,10.0
2018,1610612762,UTA,Utah Jazz,0021801208,2019-04-07,UTA @ LAL,L,240,109,38,84,0.452,13,42,0.31,20,28,0.714,10.0,25.0,35.0,25,11,4,11,17,-4.0
2018,1610612762,UTA,Utah Jazz,0021801188,2019-04-05,UTA vs. SAC,W,240,119,44,85,0.518,15,33,0.455,16,25,0.64,7.0,39.0,46.0,30,9,6,16,26,21.0
2018,1610612762,UTA,Utah Jazz,0021801174,2019-04-03,UTA @ PHX,W,241,118,44,77,0.571,16,32,0.5,14,18,0.778,7.0,38.0,45.0,30,2,9,20,16,21.0
2018,1610612762,UTA,Utah Jazz,0021801159,2019-04-01,UTA vs. CHA,W,240,111,38,79,0.481,15,35,0.429,20,26,0.769,5.0,42.0,47.0,30,7,3,17,25,9.0
2018,1610612762,UTA,Utah Jazz,0021801134,2019-03-29,UTA vs. WAS,W,239,128,48,87,0.552,14,32,0.438,18,18,1.0,8.0,36.0,44.0,26,7,7,18,22,4.0
2018,1610612762,UTA,Utah Jazz,0021801121,2019-03-27,UTA vs. LAL,W,242,115,41,83,0.494,10,32,0.313,23,36,0.639,8.0,46.0,54.0,33,4,5,11,18,15.0
2018,1610612762,UTA,Utah Jazz,0021801105,2019-03-25,UTA vs. PHX,W,239,125,48,86,0.558,10,21,0.476,19,23,0.826,10.0,33.0,43.0,31,11,4,14,23,33.0
2018,1610612762,UTA,Utah Jazz,0021801090,2019-03-23,UTA @ CHI,W,239,114,46,95,0.484,11,32,0.344,11,15,0.733,12.0,46.0,58.0,27,7,8,11,17,31.0
2018,1610612762,UTA,Utah Jazz,0021801076,2019-03-21,UTA @ ATL,L,240,114,43,94,0.457,10,32,0.313,18,26,0.692,14.0,35.0,49.0,25,12,3,15,24,-3.0
2018,1610612762,UTA,Utah Jazz,0021801068,2019-03-20,UTA @ NYK,W,241,137,48,85,0.565,20,42,0.476,21,25,0.84,7.0,33.0,40.0,38,7,3,10,18,21.0
2018,1610612762,UTA,Utah Jazz,0021801051,2019-03-18,UTA @ WAS,W,240,116,49,91,0.538,14,37,0.378,4,6,0.667,7.0,34.0,41.0,35,10,8,17,21,21.0
2018,1610612762,UTA,Utah Jazz,0021801041,2019-03-16,UTA vs. BKN,W,241,114,39,91,0.429,13,36,0.361,23,31,0.742,15.0,50.0,65.0,24,3,7,15,21,16.0
2018,1610612762,UTA,Utah Jazz,0021801024,2019-03-14,UTA vs. MIN,W,238,120,44,89,0.494,13,38,0.342,19,27,0.704,13.0,36.0,49.0,30,7,8,11,20,20.0
2018,1610612762,UTA,Utah Jazz,0021801019,2019-03-13,UTA @ PHX,W,239,114,42,90,0.467,12,33,0.364,18,25,0.72,12.0,40.0,52.0,30,8,4,12,22,17.0
2018,1610612762,UTA,Utah Jazz,0021801005,2019-03-11,UTA vs. OKC,L,241,89,32,88,0.364,13,43,0.302,12,17,0.706,11.0,37.0,48.0,22,12,6,13,25,-9.0
2018,1610612762,UTA,Utah Jazz,0021800982,2019-03-08,UTA @ MEM,L,240,104,35,82,0.427,18,48,0.375,16,24,0.667,10.0,31.0,41.0,21,8,10,12,20,-10.0
2018,1610612762,UTA,Utah Jazz,0021800971,2019-03-06,UTA @ NOP,W,239,114,46,88,0.523,8,30,0.267,14,22,0.636,9.0,36.0,45.0,31,9,8,20,20,10.0
2018,1610612762,UTA,Utah Jazz,0021800956,2019-03-04,UTA vs. NOP,L,240,112,43,92,0.467,14,38,0.368,12,14,0.857,13.0,34.0,47.0,35,3,6,18,17,-3.0
2018,1610612762,UTA,Utah Jazz,0021800943,2019-03-02,UTA vs. MIL,W,241,115,44,96,0.458,12,29,0.414,15,26,0.577,16.0,37.0,53.0,22,13,7,13,23,4.0
2018,1610612762,UTA,Utah Jazz,0021800926,2019-02-28,UTA @ DEN,W,240,111,37,84,0.44,16,43,0.372,21,33,0.636,10.0,34.0,44.0,25,6,6,11,22,7.0
2018,1610612762,UTA,Utah Jazz,0021800919,2019-02-27,UTA vs. LAC,W,241,111,38,92,0.413,11,34,0.324,24,32,0.75,14.0,42.0,56.0,22,9,12,16,23,6.0
2018,1610612762,UTA,Utah Jazz,0021800893,2019-02-23,UTA vs. DAL,W,241,125,41,85,0.482,14,38,0.368,29,33,0.879,8.0,45.0,53.0,28,2,9,7,21,16.0
2018,1610612762,UTA,Utah Jazz,0021800881,2019-02-22,UTA @ OKC,L,290,147,52,105,0.495,18,40,0.45,25,31,0.806,15.0,46.0,61.0,33,8,10,24,25,-1.0
2018,1610612762,UTA,Utah Jazz,0021800852,2019-02-12,UTA @ GSW,L,240,108,41,87,0.471,10,26,0.385,16,21,0.762,7.0,42.0,49.0,23,3,4,16,21,-7.0
2018,1610612762,UTA,Utah Jazz,0021800825,2019-02-09,UTA vs. SAS,W,241,125,47,90,0.522,16,41,0.39,15,20,0.75,9.0,43.0,52.0,29,7,3,11,17,20.0
2018,1610612762,UTA,Utah Jazz,0021800808,2019-02-06,UTA vs. PHX,W,242,116,42,84,0.5,11,28,0.393,21,32,0.656,12.0,31.0,43.0,29,13,5,13,18,28.0
2018,1610612762,UTA,Utah Jazz,0021800786,2019-02-02,UTA vs. HOU,L,239,98,31,86,0.36,11,41,0.268,25,36,0.694,14.0,37.0,51.0,19,8,9,20,21,-27.0
2018,1610612762,UTA,Utah Jazz,0021800773,2019-02-01,UTA vs. ATL,W,240,128,46,87,0.529,12,35,0.343,24,30,0.8,11.0,40.0,51.0,31,4,6,15,22,16.0
2018,1610612762,UTA,Utah Jazz,0021800763,2019-01-30,UTA @ POR,L,240,105,38,85,0.447,11,34,0.324,18,21,0.857,8.0,28.0,36.0,24,9,4,16,22,-27.0
2018,1610612762,UTA,Utah Jazz,0021800740,2019-01-27,UTA @ MIN,W,241,125,46,86,0.535,15,39,0.385,18,25,0.72,6.0,30.0,36.0,30,8,5,9,17,14.0
2018,1610612762,UTA,Utah Jazz,0021800729,2019-01-25,UTA vs. MIN,W,240,106,37,94,0.394,13,40,0.325,19,25,0.76,16.0,31.0,47.0,25,9,8,11,19,4.0
2018,1610612762,UTA,Utah Jazz,0021800715,2019-01-23,UTA vs. DEN,W,239,114,38,88,0.432,19,46,0.413,19,27,0.704,12.0,28.0,40.0,28,7,7,13,20,6.0
2018,1610612762,UTA,Utah Jazz,0021800700,2019-01-21,UTA vs. POR,L,241,104,36,91,0.396,7,33,0.212,25,31,0.806,13.0,35.0,48.0,21,5,8,15,19,-5.0
2018,1610612762,UTA,Utah Jazz,0021800675,2019-01-18,UTA vs. CLE,W,241,115,44,85,0.518,13,37,0.351,14,15,0.933,8.0,40.0,48.0,33,6,5,19,22,16.0
2018,1610612762,UTA,Utah Jazz,0021800664,2019-01-16,UTA @ LAC,W,241,129,44,86,0.512,11,33,0.333,30,37,0.811,8.0,40.0,48.0,27,9,7,13,15,20.0
2018,1610612762,UTA,Utah Jazz,0021800648,2019-01-14,UTA vs. DET,W,240,100,31,80,0.388,12,37,0.324,26,36,0.722,11.0,44.0,55.0,20,5,3,17,18,6.0
2018,1610612762,UTA,Utah Jazz,0021800637,2019-01-12,UTA vs. CHI,W,242,110,38,88,0.432,16,45,0.356,18,25,0.72,10.0,42.0,52.0,23,6,11,13,18,8.0
2018,1610612762,UTA,Utah Jazz,0021800627,2019-01-11,UTA vs. LAL,W,242,113,38,96,0.396,15,42,0.357,22,32,0.688,15.0,50.0,65.0,24,9,9,16,20,18.0
2018,1610612762,UTA,Utah Jazz,0021800614,2019-01-09,UTA vs. ORL,W,241,106,41,84,0.488,12,33,0.364,12,14,0.857,4.0,40.0,44.0,24,5,3,13,20,13.0
2018,1610612762,UTA,Utah Jazz,0021800594,2019-01-07,UTA @ MIL,L,241,102,36,86,0.419,14,37,0.378,16,23,0.696,11.0,35.0,46.0,20,6,6,15,21,-11.4
2018,1610612762,UTA,Utah Jazz,0021800577,2019-01-05,UTA @ DET,W,240,110,39,82,0.476,7,21,0.333,25,32,0.781,7.0,35.0,42.0,24,12,6,12,23,5.0
2018,1610612762,UTA,Utah Jazz,0021800567,2019-01-04,UTA @ CLE,W,241,117,42,82,0.512,14,35,0.4,19,22,0.864,8.0,39.0,47.0,28,6,9,11,19,26.0
