SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612764,WAS,Washington Wizards,0021801211,2019-04-09,WAS vs. BOS,L,240,110,41,97,0.423,14,39,0.359,14,18,0.778,13.0,45.0,58.0,28,2,3,15,18,-6.0
2018,1610612764,WAS,Washington Wizards,0021801204,2019-04-07,WAS @ NYK,L,239,110,43,103,0.417,10,34,0.294,14,18,0.778,21.0,29.0,50.0,24,12,4,8,16,-3.0
2018,1610612764,WAS,Washington Wizards,0021801182,2019-04-05,WAS vs. SAS,L,241,112,42,88,0.477,9,32,0.281,19,22,0.864,9.0,25.0,34.0,22,2,4,9,16,-17.0
2018,1610612764,WAS,Washington Wizards,0021801167,2019-04-03,WAS vs. CHI,L,240,114,45,97,0.464,5,27,0.185,19,26,0.731,9.0,30.0,39.0,24,8,9,12,18,-1.0
2018,1610612764,WAS,Washington Wizards,0021801148,2019-03-31,WAS @ DEN,W,239,95,37,92,0.402,6,24,0.25,15,20,0.75,9.0,45.0,54.0,24,9,6,10,21,5.0
2018,1610612764,WAS,Washington Wizards,0021801134,2019-03-29,WAS @ UTA,L,242,124,48,98,0.49,15,37,0.405,13,22,0.591,12.0,30.0,42.0,32,11,3,13,18,-4.0
2018,1610612764,WAS,Washington Wizards,0021801120,2019-03-27,WAS @ PHX,W,241,124,43,90,0.478,9,25,0.36,29,43,0.674,15.0,37.0,52.0,18,10,3,10,20,3.0
2018,1610612764,WAS,Washington Wizards,0021801116,2019-03-26,WAS @ LAL,L,240,106,39,90,0.433,6,32,0.188,22,27,0.815,11.0,28.0,39.0,21,5,4,17,20,-18.0
2018,1610612764,WAS,Washington Wizards,0021801089,2019-03-23,WAS vs. MIA,L,241,108,41,96,0.427,9,30,0.3,17,23,0.739,21.0,32.0,53.0,25,5,2,12,20,-5.0
2018,1610612764,WAS,Washington Wizards,0021801075,2019-03-21,WAS vs. DEN,L,240,108,40,79,0.506,8,28,0.286,20,21,0.952,6.0,32.0,38.0,25,4,2,12,15,-5.0
2018,1610612764,WAS,Washington Wizards,0021801069,2019-03-20,WAS @ CHI,L,266,120,44,93,0.473,14,42,0.333,18,23,0.783,12.0,38.0,50.0,25,10,9,16,21,-6.0
2018,1610612764,WAS,Washington Wizards,0021801051,2019-03-18,WAS vs. UTA,L,240,95,34,81,0.42,8,27,0.296,19,22,0.864,5.0,29.0,34.0,20,9,2,16,16,-21.0
2018,1610612764,WAS,Washington Wizards,0021801035,2019-03-16,WAS vs. MEM,W,241,135,41,81,0.506,17,35,0.486,36,43,0.837,9.0,36.0,45.0,26,6,7,11,21,7.0
2018,1610612764,WAS,Washington Wizards,0021801028,2019-03-15,WAS vs. CHA,L,239,110,41,84,0.488,13,34,0.382,15,19,0.789,8.0,37.0,45.0,25,8,5,17,14,-6.0
2018,1610612764,WAS,Washington Wizards,0021801015,2019-03-13,WAS vs. ORL,W,240,100,42,90,0.467,8,27,0.296,8,12,0.667,10.0,36.0,46.0,20,5,2,8,13,10.0
2018,1610612764,WAS,Washington Wizards,0021801002,2019-03-11,WAS vs. SAC,W,240,121,40,86,0.465,14,37,0.378,27,33,0.818,7.0,40.0,47.0,29,12,1,17,25,6.0
2018,1610612764,WAS,Washington Wizards,0021800988,2019-03-09,WAS @ MIN,L,265,130,48,100,0.48,16,44,0.364,18,24,0.75,10.0,40.0,50.0,31,8,5,18,23,-5.0
2018,1610612764,WAS,Washington Wizards,0021800977,2019-03-08,WAS @ CHA,L,239,111,40,86,0.465,9,27,0.333,22,26,0.846,13.0,33.0,46.0,28,8,5,14,19,-1.0
2018,1610612764,WAS,Washington Wizards,0021800967,2019-03-06,WAS vs. DAL,W,240,132,50,93,0.538,12,33,0.364,20,25,0.8,15.0,34.0,49.0,30,3,2,12,26,9.0
2018,1610612764,WAS,Washington Wizards,0021800950,2019-03-03,WAS vs. MIN,W,240,135,49,98,0.5,11,33,0.333,26,32,0.813,15.0,31.0,46.0,30,6,4,8,19,14.0
2018,1610612764,WAS,Washington Wizards,0021800931,2019-03-01,WAS @ BOS,L,240,96,36,89,0.404,10,38,0.263,14,19,0.737,11.0,42.0,53.0,20,7,6,18,16,-11.0
2018,1610612764,WAS,Washington Wizards,0021800914,2019-02-27,WAS @ BKN,W,240,125,44,96,0.458,11,37,0.297,26,31,0.839,17.0,40.0,57.0,34,10,4,17,30,9.0
2018,1610612764,WAS,Washington Wizards,0021800886,2019-02-23,WAS vs. IND,L,241,112,42,79,0.532,13,35,0.371,15,21,0.714,8.0,24.0,32.0,27,15,5,22,23,-7.0
2018,1610612764,WAS,Washington Wizards,0021800873,2019-02-22,WAS @ CHA,L,239,110,42,97,0.433,10,39,0.256,16,18,0.889,11.0,32.0,43.0,24,6,6,13,20,-13.0
2018,1610612764,WAS,Washington Wizards,0021800857,2019-02-13,WAS @ TOR,L,240,120,37,84,0.44,14,40,0.35,32,39,0.821,4.0,39.0,43.0,27,6,3,18,28,-9.0
2018,1610612764,WAS,Washington Wizards,0021800840,2019-02-11,WAS @ DET,L,241,112,42,84,0.5,14,39,0.359,14,19,0.737,7.0,30.0,37.0,31,7,5,14,21,-9.0
2018,1610612764,WAS,Washington Wizards,0021800830,2019-02-09,WAS @ CHI,W,239,134,55,95,0.579,12,27,0.444,12,14,0.857,6.0,33.0,39.0,38,6,6,13,23,9.0
2018,1610612764,WAS,Washington Wizards,0021800819,2019-02-08,WAS vs. CLE,W,238,119,46,92,0.5,12,35,0.343,15,16,0.938,10.0,38.0,48.0,35,10,4,16,19,13.0
2018,1610612764,WAS,Washington Wizards,0021800806,2019-02-06,WAS @ MIL,L,240,129,48,92,0.522,17,37,0.459,16,19,0.842,8.0,32.0,40.0,34,6,5,24,23,-19.0
