Year,League,Series,Date,,Winning Team,W,,Losing Team,W,,Favorite,Underdog
2018,NBA,Eastern Conf First Round,Apr 14 - Apr 27 2018,,Toronto Raptors (1),4,,Washington Wizards (8),2,,TOR (-630),WAS (+465)
2018,NBA,Eastern Conf First Round,Apr 15 - Apr 28 2018,,Boston Celtics (2),4,,Milwaukee Bucks (7),3,,BOS (-150),MIL (+130)
2018,NBA,Eastern Conf First Round,Apr 14 - Apr 24 2018,,Philadelphia 76ers (3),4,,Miami Heat (6),1,,PHI (-500),MIA (+400)
2018,NBA,Eastern Conf First Round,Apr 15 - Apr 29 2018,,Cleveland Cavaliers (4),4,,Indiana Pacers (5),3,,CLE (-600),IND (+450)
2018,NBA,Western Conf First Round,Apr 15 - Apr 25 2018,,Houston Rockets (1),4,,Minnesota Timberwolves (8),1,,HOU (-3000),MIN (+1500)
2018,NBA,Western Conf First Round,Apr 14 - Apr 24 2018,,Golden State Warriors (2),4,,San Antonio Spurs (7),1,,GSW (-900),SAS (+600)
2018,NBA,Western Conf First Round,Apr 14 - Apr 21 2018,,New Orleans Pelicans (6),4,,Portland Trail Blazers (3),0,,POR (-220),NOP (+180)
2018,NBA,Western Conf First Round,Apr 15 - Apr 27 2018,,Utah Jazz (5),4,,Oklahoma City Thunder (4),2,,OKC (-140),UTA (+120)
2018,NBA,Western Conf Semifinals,Apr 28 - May 8 2018,,Golden State Warriors (2),4,,New Orleans Pelicans (6),1,,GSW (-1050),NOP (+675)
2018,NBA,Western Conf Semifinals,Apr 29 - May 8 2018,,Houston Rockets (1),4,,Utah Jazz (5),1,,HOU (-1500),UTA (+1000)
2018,NBA,Eastern Conf Semifinals,Apr 30 - May 9 2018,,Boston Celtics (2),4,,Philadelphia 76ers (3),1,,PHI (-525),BOS (+415)
2018,NBA,Eastern Conf Semifinals,May 1 - May 7 2018,,Cleveland Cavaliers (4),4,,Toronto Raptors (1),0,,TOR (-190),CLE (+165)
2018,NBA,Eastern Conf Finals,May 13 - May 27 2018,,Cleveland Cavaliers (4),4,,Boston Celtics (2),3,,CLE (-275),BOS (+235)
2018,NBA,Western Conf Finals,May 14 - May 28 2018,,Golden State Warriors (2),4,,Houston Rockets (1),3,,GSW (-200),HOU (+170)
2018,NBA,Finals,May 31 - Jun 8 2018,,Golden State Warriors (2),4,,Cleveland Cavaliers (4),0,,GSW (-1075),CLE (+688)
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,,Boston Celtics (1),4,,Chicago Bulls (8),2,,BOS (-470),CHI (+375)
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 23 2017,,Cleveland Cavaliers (2),4,,Indiana Pacers (7),0,,CLE (-1100),IND (+700)
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2017,,Toronto Raptors (3),4,,Milwaukee Bucks (6),2,,TOR (-440),MIL (+350)
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,,Washington Wizards (4),4,,Atlanta Hawks (5),2,,WAS (-220),ATL (+180)
2017,NBA,Western Conf First Round,Apr 16 - Apr 24 2017,,Golden State Warriors (1),4,,Portland Trail Blazers (8),0,,GSW (-7000),POR (+3000)
2017,NBA,Western Conf First Round,Apr 15 - Apr 27 2017,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),2,,SAS (-1070),MEM (+685)
2017,NBA,Western Conf First Round,Apr 16 - Apr 25 2017,,Houston Rockets (3),4,,Oklahoma City Thunder (6),1,,HOU (-390),OKC (+320)
2017,NBA,Western Conf First Round,Apr 15 - Apr 30 2017,,Utah Jazz (5),4,,Los Angeles Clippers (4),3,,LAC (-245),UTA (+205)
2017,NBA,Eastern Conf Semifinals,May 1 - May 7 2017,,Cleveland Cavaliers (2),4,,Toronto Raptors (3),0,,CLE (-475),TOR (+380)
